store_number,store_name,latitude,longitude,population,rural_flag,county
2190,"Central City Liquor, Inc.",41.60566,-93.619787,500000,0,POLK
2512,Hy-Vee Wine and Spirits / Iowa City,41.642764,-91.530463,155000,0,JOHNSON
2593,Hy-Vee Food Store / Carroll,42.064155,-94.853591,,0,CARROLL
2614,Hy-Vee #3 Food and Drugstore,41.556781,-90.548919,175000,0,SCOTT
2616,Hy-Vee Food and Drug / Clinton,41.836268,-90.193204,,0,CLINTON
2627,Hy-Vee Wine and Spirits #1,41.626402,-93.651112,500000,0,POLK
2629,Hy-Vee Food Store #2 / Council Bluffs,41.242732,-95.825137,,0,POTTAWATTA
2633,Hy-Vee #3 / BDI / Des Moines,41.554101,-93.596754,500000,0,POLK
3354,Sam's Club 8238 / Davenport,41.559731,-90.527081,175000,0,SCOTT
3385,Sam's Club 8162 / Cedar Rapids,42.031819,-91.67969,230000,0,LINN
3420,Sam's Club 6344 / Windsor Heights,41.599172,-93.718027,500000,0,Polk
3447,Sam's Club 6432 / Sioux City,42.43407,-96.37082,105000,0,WOODBURY
3494,Sam's Club 6514 / Waterloo,42.456374,-92.353103,130000,0,BLACK HAWK
3524,Sam's Club 6568 / Ames,42.001123,-93.61365,100000,0,STORY
3773,Benz Distributing,41.975787,-91.659795,230000,0,LINN
3814,Costco Wholesale #788,41.561342,-93.806489,100000,0,Dallas
3820,"Charlie's Wine and Spirits,",42.510535,-96.420193,105000,0,WOODBURY
3952,Lot-A-Spirits,41.529655,-90.48065,175000,0,SCOTT
4829,Central City 2,41.60572,-93.613739,500000,0,POLK
